answer,lure,position_in_list
mad,anger,1
fear,anger,2
hate,anger,3
rage,anger,4
temper,anger,5
fury,anger,6
ire,anger,7
wrath,anger,8
table,chair,1
sit,chair,2
legs,chair,3
seat,chair,4
couch,chair,5
desk,chair,6
recliner,chair,7
sofa,chair,8
town,city,1
crowded,city,2
state,city,3
capital,city,4
streets,city,5
subway,city,6
country,city,7
newyork,city,8
hot,cold,1
snow,cold,2
warm,cold,3
winter,cold,4
ice,cold,5
wet,cold,6
frigid,cold,7
chilly,cold,8
mug,cup,1
saucer,cup,2
tea,cup,3
measuring,cup,4
coaster,cup,5
lid,cup,6
handle,cup,7
coffee,cup,8
nurse,doctor,1
sick,doctor,2
lawyer,doctor,3
medicine,doctor,4
health,doctor,5
hospital,doctor,6
dentist,doctor,7
physician,doctor,8
shoe,foot,1
hand,foot,2
toe,foot,3
kick,foot,4
sandals,foot,5
soccer,foot,6
yard,foot,7
walk,foot,8
hill,mountain,1
valley,mountain,2
climb,mountain,3
summit,mountain,4
top,mountain,5
molehill,mountain,6
peak,mountain,7
plain,mountain,8
thread,needle,1
pin,needle,2
eye,needle,3
sewing,needle,4
sharp,needle,5
point,needle,6
prick,needle,7
thimble,needle,8
water,river,1
stream,river,2
lake,river,3
thames,river,4
boat,river,5
tide,river,6
swim,river,7
flow,river,8
smooth,rough,1
bumpy,rough,2
road,rough,3
tough,rough,4
sandpaper,rough,5
jagged,rough,6
ready,rough,7
coarse,rough,8
garbage,rubbish,1
waste,rubbish,2
can,rubbish,3
refuse,rubbish,4
sewage,rubbish,5
bag,rubbish,6
junk,rubbish,7
trash,rubbish,8
bed,sleep,1
rest,sleep,2
awake,sleep,3
tired,sleep,4
dream,sleep,5
wake,sleep,6
snooze,sleep,7
blanket,sleep,8
fast,slow,1
lethargic,slow,2
stop,slow,3
listless,slow,4
snail,slow,5
cautious,slow,6
delay,slow,7
traffic,slow,8
nose,smell,1
breathe,smell,2
sniff,smell,3
aroma,smell,4
hear,smell,5
see,smell,6
nostril,smell,7
whiff,smell,8
cigarette,smoke,1
puff,smoke,2
blaze,smoke,3
billows,smoke,4
pollution,smoke,5
ashes,smoke,6
cigar,smoke,7
chimney,smoke,8
hard,soft,1
light,soft,2
pillow,soft,3
plush,soft,4
loud,soft,5
cotton,soft,6
fur,soft,7
touch,soft,8
web,spider,1
insect,spider,2
bug,spider,3
fright,spider,4
fly,spider,5
arachnid,spider,6
crawl,spider,7
tarantula,spider,8
sour,sweet,1
candy,sweet,2
sugar,sweet,3
bitter,sweet,4
good,sweet,5
taste,sweet,6
tooth,sweet,7
nice,sweet,8
door,window,1
glass,window,2
pane,window,3
shade,window,4
ledge,window,5
sill,window,6
house,window,7
open,window,8